UNITID,FIRST_YEAR_RET_RATE,GRAD_RATE_WITHIN_150,COMP_TRAN_RATE,OUTCOME_EFFICIENCY_INDEX,FALL_ENROLLMENT_TOTAL,cluster,similarity
144175,0.4263322884012539,0.21,0.4379770992366412,1.152898651,3137,Intermediate Cluster,-0.34408694760850494
484932,0.433264887,0.34,0.4319912948857454,1.380088614,1927,Intermediate Cluster,-0.3623473442700598
102313,0.4522727272727272,0.16,0.386509635974304,1.231644289,2046,Intermediate Cluster,-0.36808370897789994
183150,0.5874587458745875,0.34,0.3464730290456431,1.588811853,1462,Intermediate Cluster,-0.37168514636034244
237437,,0.25,0.257328990228013,,182,Intermediate Cluster,-0.3741264557591619
173911,0.5078125,0.39,0.3800515907136715,1.523105169,2731,Intermediate Cluster,-0.3884317825181951
217712,0.4789081885856079,0.18,0.1693811074918566,1.083419236,2461,Intermediate Cluster,-0.3982667410780243
492476,,0.25,,,379,Intermediate Cluster,-0.4038374858655299
186469,0.6309523809523809,0.4,0.4311224489795918,1.540681858,1135,Intermediate Cluster,-0.40920374233886203
101569,0.4843537414965986,0.27,0.2519590114526823,1.135383582,3453,Intermediate Cluster,-0.4163451592291908
204839,0.5353535353535354,0.21,0.388235294117647,1.374914223,1716,Intermediate Cluster,-0.4170532791346023
461014,0.5110410094637224,0.32,0.3596549435965494,,961,Intermediate Cluster,-0.4282335742307612
180249,0.524390244,0.34,0.3613013698630137,1.515991211,1502,Intermediate Cluster,-0.45457609225014795
236610,,0.29,0.4714592274678111,1.112679801,4477,Intermediate Cluster,-0.45720736496998915
494278,0.5,,,,325,Intermediate Cluster,-0.46541673523711463
180276,0.5052083333333334,0.33,0.3795309168443497,1.439248112,1554,Intermediate Cluster,-0.49081808600210264
475839,0.6,0.4,0.3717948717948718,,194,Intermediate Cluster,-0.5004442841975532
141680,0.5789473684210527,0.25,0.4066889632107023,1.195729967,3342,Intermediate Cluster,-0.5010214329088872
138655,0.5661764705882353,0.37,0.4420131291028446,,521,Intermediate Cluster,-0.5154683603507092
216825,0.5786163522012578,0.31,0.2504515352197471,0.993222117,3990,Intermediate Cluster,-0.534671876931538
211079,0.5130718954248366,0.12,0.3009605122732123,0.907302775,1936,Intermediate Cluster,-0.5349292737335373
147411,0.5619469026548672,0.31,0.2868663594470046,1.150230867,3562,Intermediate Cluster,-0.5378327036339073
218821,,0.43,0.3440860215053763,,1119,Intermediate Cluster,-0.5413286583013307
166957,0.5309278350515464,0.24,0.3047238855622089,0.96869633,3694,Intermediate Cluster,-0.5449293233986308
165194,0.5932203389830508,0.22,0.2826825127334465,0.95206294,3260,Intermediate Cluster,-0.5461990602691381
