UNITID,FIRST_YEAR_RET_RATE,GRAD_RATE_WITHIN_150,COMP_TRAN_RATE,OUTCOME_EFFICIENCY_INDEX,FALL_ENROLLMENT_TOTAL
421708,0.6216216216216216,0.89,,,1202
428170,,0.88,0.6847237269772481,,564
429128,0.5412844036697247,0,0.10398613518197573,,868
430935,0.5109489051094891,0.47,0.5199409158050221,,556
431141,,0.73,0.7027833001988072,,1377
434061,0.5077720207253886,0.3,0.34276387377584333,4.357716297,6238
436599,0.6909090909090909,1,0.41304347826086957,,185
437769,0.7741935483870968,0.63,0.7564102564102564,,79
439792,,0.35,0.5192307692307693,,399
440262,0.8484848484848485,0.64,0.6051401869158879,,487
441025,,0.87,0.38181818181818183,,9
441742,0.7392996108949417,0.55,0.7451274362818591,,268
441760,0.6309859154929578,0.31,0.394375409,2.165691743,5680
441858,0.8356164383561644,0.66,0.8299595141700404,,177
442879,,0.67,0.13757396449704143,,534
443261,0.7222222222222222,0.67,0.7285714285714285,,226
443650,,0.6,0.5197889182058048,,4462
444565,,1,0.7474226804123711,,316
444866,0.6,0.67,0.6013513513513513,,267
444954,0.3569482288828338,0.19,0.3850415512465374,1.340258761,1520
446109,,0.47,0.717741935,,381
446118,,0.71,0.6190476190476191,,620
446163,0.7107843137254902,0.13,0.4426229508196721,,424
446598,,0.8,1,,26
447759,1,0.47,0.8031496062992126,,516
447777,0.7349397590361446,0.56,0.4945770065075922,,649
450067,,0.5,0.5824561403508772,,500
450960,0.810126582,0.71,0.9655172413793104,,447
452124,,0.43,0.5201612903225806,,393
452948,0.6176470588235294,0.57,0.4586894586894587,,645
454865,,0.76,0.5320665083135392,,1315
455196,0.6332046332046332,0.45,0.543607532,,4478
455479,0.45652173913043476,0.54,0.5190476190476191,,760
455512,0.5078809106830122,0.43,0.22576878162709224,1.483695738,4128
455983,,0.8,0.6296296296296297,,151
456205,,0.79,0.4991596638655462,,409
456454,,0.6,0.6557971014492754,,383
456579,,0.83,0.5303468208092486,,285
458405,,0.78,0.5694945848375451,,336
458441,,0.13,0.30792227204783257,,190
460677,0.5072463768115942,0.61,0.32783882783882784,,424
460756,0.6018518518518519,0.84,0.8168604651162791,,194
460817,,0.75,0.565438374,,195
460826,,0.59,0.4076086956521739,,506
460835,,0.78,0.22214854111405835,,3
461014,0.5110410094637224,0.32,0.3596549435965494,,961
461324,,,0.801354402,,805
461953,,0.5,0.9032258064516129,,23
475060,0.6666666666666666,0.13,0.30952380952380953,,230
475565,0.5223300970873787,0.23,0.4583333333333333,0.284514139,1048
475714,0.625,0.53,0.5758039816232772,,412
475839,0.6,0.4,0.3717948717948718,,194
476683,0.5666666666666667,0.52,0.6368159203980099,,516
483045,0.5084516565246788,0.47,0.4563758389261745,5.2106152,11527
483212,0.4952076677316294,0.3,0.23847087378640777,2.837569893,3463
483814,,0.66,0.8899521531100478,,730
484002,0.7619047619047619,0.68,0.7121212121212122,,2280
484932,0.433264887,0.34,0.4319912948857454,1.380088614,1927
485519,0.7142857142857143,0.67,0.49875311720698257,,403
486257,0.4375,0.44,0.5510204081632653,,414
486372,0.2916666666666667,0.67,0.5555555555555556,,127
486424,0.7941176470588235,0.83,0.42857142857142855,,136
487092,,0.94,0.9481037924151696,,967
487302,,0.47,0.5703324808184144,,583
487861,,0.91,0.5161290322580645,,192
487977,,0.6,0.6593272171253822,,2812
488077,0.6643445218492717,0.33,0.5027726432532348,,5437
488730,0.4923167848699764,0.32,0.1631663974151858,1.799888306,9355
489201,0.5668629100084104,0.45,0.30468234776874037,1.434356536,10358
490832,0.36904761904761907,0.46,0.5862068965517241,,785
490975,0.4,0.48,0.5882352941176471,,365
491446,,0.79,0.9137931034482759,,124
491817,,0.94,0.984375,,182
492476,,0.25,,,379
493619,,0.71,0.5087719298245614,,15
494278,0.5,,,,325
494986,,,0.5,,27
495271,0.7142857142857143,,,,154
495280,,0.6,0.5833333333333334,,38
